Time,RobotMode,BatteryVoltage,LagTime,Throttle,LeftMotorOut,RightMotorOut,Velocity,Distance,Ultrasonic,GyroAngle,PSIReadout,ArmState,ShiftHigh,ShooterState
06:53:38.776 PM 12/27/2014,Teleop Enabled,12.152711,49.000000,0.000000,0.000000,0.000000,0.000000,-0.012525,85.222956,358.886726,55.041496,FALSE,TRUE,Unready
06:53:38.877 PM 12/27/2014,Teleop Enabled,12.385162,49.000000,0.000000,0.000000,0.000000,0.000000,-0.037575,86.331359,358.845060,53.759758,FALSE,TRUE,Unready
06:53:38.977 PM 12/27/2014,Teleop Enabled,12.322337,50.000000,0.000000,0.000000,0.000000,-0.341162,-0.062625,86.568318,359.012345,53.530876,FALSE,TRUE,Unready
06:53:39.077 PM 12/27/2014,Teleop Enabled,12.341185,48.000000,0.000000,0.000000,0.000000,-2609.375000,-0.200400,86.064476,359.080749,53.668205,FALSE,TRUE,Unready
06:53:39.177 PM 12/27/2014,Teleop Enabled,12.366315,49.000000,0.000000,0.000000,0.000000,564.189189,-0.400800,86.226503,359.047786,53.759758,FALSE,TRUE,Unready
06:53:39.278 PM 12/27/2014,Teleop Enabled,12.272078,50.000000,0.000000,0.000000,0.000000,-0.087235,-0.488475,86.300462,359.076700,53.668205,FALSE,TRUE,Unready
06:53:39.379 PM 12/27/2014,Teleop Enabled,12.322337,50.000000,0.000000,0.000000,0.000000,-347.916667,-0.713925,86.261901,359.134225,53.347771,FALSE,TRUE,Unready
06:53:39.480 PM 12/27/2014,Teleop Enabled,12.366315,50.000000,0.000000,0.000000,0.000000,1897.727273,-0.964425,85.964364,359.090618,52.478020,FALSE,TRUE,Unready
06:53:39.581 PM 12/27/2014,Teleop Enabled,12.272078,50.000000,0.000000,0.000000,0.000000,-0.214197,-1.239975,86.398140,359.037522,51.104729,FALSE,TRUE,Unready
06:53:39.682 PM 12/27/2014,Teleop Enabled,12.259513,50.000000,0.000000,0.000000,0.000000,0.438191,-1.027050,85.250203,358.828742,50.189202,FALSE,TRUE,Unready
06:53:39.783 PM 12/27/2014,Teleop Enabled,12.297208,50.000000,0.000000,0.000000,0.000000,0.495384,-0.663825,85.773751,358.500878,52.981560,FALSE,TRUE,Unready
06:53:39.884 PM 12/27/2014,Teleop Enabled,12.316055,50.000000,0.000000,0.000000,0.000000,251.506024,-0.726450,85.863888,358.316030,52.386467,FALSE,TRUE,Unready
06:53:39.985 PM 12/27/2014,Teleop Enabled,12.240665,50.000000,0.000000,0.000000,0.000000,353.813559,-0.676350,86.421739,358.395828,50.509636,FALSE,TRUE,Unready
06:53:40.087 PM 12/27/2014,Teleop Enabled,12.253230,49.000000,0.000000,0.000000,0.000000,0.000000,-0.864225,86.037471,358.361571,50.692742,FALSE,TRUE,Unready
06:53:40.188 PM 12/27/2014,Teleop Enabled,12.303490,50.000000,0.000000,0.000000,0.000000,-302.536232,-1.164825,86.236843,358.345029,51.013176,FALSE,TRUE,Unready
